title,Ethnicity,Gender,Religious_Affiliation,Political_Party,docid,VectorRanker_person,VectorRanker_person_value,VectorRanker_MMR_03_person,VectorRanker_MMR_03_person_value,VectorRanker_MMR_05_person,VectorRanker_MMR_05_person_value,VectorRanker_MMR_07_person,VectorRanker_MMR_07_person_value,VectorRanker_woman,VectorRanker_woman_value,VectorRanker_MMR_03_woman,VectorRanker_MMR_03_woman_value,VectorRanker_MMR_05_woman,VectorRanker_MMR_05_woman_value,VectorRanker_MMR_07_woman,VectorRanker_MMR_07_woman_value,VectorRanker_teacher,VectorRanker_teacher_value,VectorRanker_MMR_03_teacher,VectorRanker_MMR_03_teacher_value,VectorRanker_MMR_05_teacher,VectorRanker_MMR_05_teacher_value,VectorRanker_MMR_07_teacher,VectorRanker_MMR_07_teacher_value,VectorRanker_role model,VectorRanker_role model_value,VectorRanker_MMR_03_role model,VectorRanker_MMR_03_role model_value,VectorRanker_MMR_05_role model,VectorRanker_MMR_05_role model_value,VectorRanker_MMR_07_role model,VectorRanker_MMR_07_role model_value,VectorRanker_professional,VectorRanker_professional_value,VectorRanker_MMR_03_professional,VectorRanker_MMR_03_professional_value,VectorRanker_MMR_05_professional,VectorRanker_MMR_05_professional_value,VectorRanker_MMR_07_professional,VectorRanker_MMR_07_professional_value
George Washington,,male,Episcopal Church,independent politician,11968,16949.0,0.059404052793979645,16949.0,0.059404052793979645,16949.0,0.059404052793979645,16949.0,0.059404052793979645,21514.0,,21514.0,,21514.0,,21514.0,,9896.0,,9896.0,,9896.0,,9896.0,,36483.0,0.034952033311128616,36483.0,0.034952033311128616,36483.0,0.034952033311128616,36483.0,0.034952033311128616,20885.0,0.0007104240357875824,20885.0,0.0007104240357875824,20885.0,0.0007104240357875824,20885.0,0.0007104240357875824
Douglas Adams,White British,male,,,8091,7706.0,0.11164246499538422,7706.0,0.11164246499538422,7706.0,0.11164246499538422,7706.0,0.11164246499538422,21514.0,,21514.0,,21514.0,,21514.0,,9896.0,,9896.0,,9896.0,,9896.0,,71561.0,,71561.0,,71561.0,,71561.0,,12652.0,0.060140445828437805,12652.0,0.060140445828437805,12652.0,0.060140445828437805,12652.0,0.060140445828437805
George W. Bush,,male,United Methodist Church,Republican Party,3414021,13447.0,0.0778224915266037,13447.0,0.0778224915266037,13447.0,0.0778224915266037,13447.0,0.0778224915266037,17551.0,-0.03976844251155853,17551.0,-0.03976844251155853,17551.0,-0.03976844251155853,17551.0,-0.03976844251155853,9896.0,,9896.0,,9896.0,,9896.0,,31319.0,0.049667105078697205,31319.0,0.049667105078697205,31319.0,0.049667105078697205,31319.0,0.049667105078697205,28974.0,,28974.0,,28974.0,,28974.0,
Diego Velázquez,Spaniards,male,,,77423,33861.0,,33861.0,,33861.0,,33861.0,,12743.0,0.008359755389392376,12743.0,0.008359755389392376,12743.0,0.008359755389392376,12743.0,0.008359755389392376,8472.0,-0.023388609290122986,8472.0,-0.023388609290122986,8472.0,-0.023388609290122986,8472.0,-0.023388609290122986,36654.0,0.034466542303562164,36654.0,0.034466542303562164,36654.0,0.034466542303562164,36654.0,0.034466542303562164,28974.0,,28974.0,,28974.0,,28974.0,
Augusto Pinochet,,male,Catholicism,independent politician,18933396,5647.0,0.1278313547372818,5647.0,0.1278313547372818,5647.0,0.1278313547372818,5647.0,0.1278313547372818,17511.0,-0.03921792283654213,17511.0,-0.03921792283654213,17511.0,-0.03921792283654213,17511.0,-0.03921792283654213,9896.0,,9896.0,,9896.0,,9896.0,,24027.0,0.07119064033031464,24027.0,0.07119064033031464,24027.0,0.07119064033031464,24027.0,0.07119064033031464,28974.0,,28974.0,,28974.0,,28974.0,
Charles Baudelaire,,male,Catholicism,,5804,33861.0,,33861.0,,33861.0,,33861.0,,21514.0,,21514.0,,21514.0,,21514.0,,9896.0,,9896.0,,9896.0,,9896.0,,32390.0,0.0465705506503582,32390.0,0.0465705506503582,32390.0,0.0465705506503582,32390.0,0.0465705506503582,28974.0,,28974.0,,28974.0,,28974.0,
Nicolaus Copernicus,Poles,male,Catholicism,,323592,13760.0,0.07593506574630737,13760.0,0.07593506574630737,13760.0,0.07593506574630737,13760.0,0.07593506574630737,21514.0,,21514.0,,21514.0,,21514.0,,9896.0,,9896.0,,9896.0,,9896.0,,19543.0,0.08544667810201645,19543.0,0.08544667810201645,19543.0,0.08544667810201645,19543.0,0.08544667810201645,28974.0,,28974.0,,28974.0,,28974.0,
Pierre Corneille,,male,Catholicism,,58193,33861.0,,33861.0,,33861.0,,33861.0,,21514.0,,21514.0,,21514.0,,21514.0,,9896.0,,9896.0,,9896.0,,9896.0,,71561.0,,71561.0,,71561.0,,71561.0,,28974.0,,28974.0,,28974.0,,28974.0,
Andrei Tarkovsky,,male,Eastern Orthodoxy,,676,8200.0,0.10842753946781158,8200.0,0.10842753946781158,8200.0,0.10842753946781158,8200.0,0.10842753946781158,16980.0,-0.033440425992012024,16980.0,-0.033440425992012024,16980.0,-0.033440425992012024,16980.0,-0.033440425992012024,9676.0,-0.09922771155834198,9676.0,-0.09922771155834198,9676.0,-0.09922771155834198,9676.0,-0.09922771155834198,24427.0,0.06993450224399567,24427.0,0.06993450224399567,24427.0,0.06993450224399567,24427.0,0.06993450224399567,28974.0,,28974.0,,28974.0,,28974.0,
Meryl Streep,,female,atheism,Democratic Party,63390,32541.0,-0.06125660240650177,32541.0,-0.06125660240650177,32541.0,-0.06125660240650177,32541.0,-0.06125660240650177,2506.0,0.16525137424468994,2506.0,0.16525137424468994,2506.0,0.16525137424468994,2506.0,0.16525137424468994,9896.0,,9896.0,,9896.0,,9896.0,,5650.0,0.15217791497707367,5650.0,0.15217791497707367,5650.0,0.15217791497707367,5650.0,0.15217791497707367,17256.0,0.027935044839978218,17256.0,0.027935044839978218,17256.0,0.027935044839978218,17256.0,0.027935044839978218
